RunId,iteration,Step,number_of_households,number_of_steps,flood_map_choice,network,subsidies_package,TotalAdaptedHouseholds,TotalActualDamage,TotalExpectedDamage,TotalAdaptationCosts,TotalCostsOfSubsidies,IncomeDistribution,AverageDamagePerPoorHousehold,AverageDamagePerMiddleClassHousehold,AverageDamagePerRichHousehold,AverageIncomeToDamagePoorHousehold,AverageIncomeToDamageMiddleClassHousehold,AverageIncomeToDamageRichHousehold
4,1,1,1000,80,harvey,watts_strogatz,0,141,0.0,76175442.68333226,179425,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,2,1000,80,harvey,watts_strogatz,0,305,0.0,70438583.96740012,791045,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,1000,80,harvey,watts_strogatz,0,427,0.0,63456790.195489496,1501600,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,4,1000,80,harvey,watts_strogatz,0,480,0.0,60521435.64305934,1794975,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,5,1000,80,harvey,watts_strogatz,0,521,0.0,58068957.562171824,2060005,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,6,1000,80,harvey,watts_strogatz,0,535,0.0,57337761.53309981,2128405,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,7,1000,80,harvey,watts_strogatz,0,555,0.0,56167358.15442674,2232385,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,8,1000,80,harvey,watts_strogatz,0,560,0.0,55893200.07960401,2254975,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,9,1000,80,harvey,watts_strogatz,0,569,0.0,55497359.29477451,2294335,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,10,1000,80,harvey,watts_strogatz,0,579,0.0,55090950.45857236,2334385,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,11,1000,80,harvey,watts_strogatz,0,585,0.0,54868887.09957268,2357065,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,12,1000,80,harvey,watts_strogatz,0,588,0.0,54732479.924205944,2368825,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,13,1000,80,harvey,watts_strogatz,0,590,0.0,54626265.15408152,2380465,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,14,1000,80,harvey,watts_strogatz,0,592,0.0,54546922.3773383,2388565,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,15,1000,80,harvey,watts_strogatz,0,592,0.0,54546922.3773383,2388565,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,16,1000,80,harvey,watts_strogatz,0,594,0.0,54438098.93621746,2398225,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,17,1000,80,harvey,watts_strogatz,0,594,0.0,54438098.93621746,2398225,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,18,1000,80,harvey,watts_strogatz,0,596,0.0,54170254.21890325,2624680,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,19,1000,80,harvey,watts_strogatz,0,600,0.0,54021503.70731006,2638000,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,20,1000,80,harvey,watts_strogatz,0,601,0.0,53986413.63329383,2643070,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,21,1000,80,harvey,watts_strogatz,0,602,0.0,53943089.37145274,2646670,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,22,1000,80,harvey,watts_strogatz,0,603,0.0,53892901.239099756,2650270,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,23,1000,80,harvey,watts_strogatz,0,603,0.0,53892901.239099756,2650270,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,24,1000,80,harvey,watts_strogatz,0,603,0.0,53892901.239099756,2650270,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,25,1000,80,harvey,watts_strogatz,0,604,0.0,53787142.055292845,2753815,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
4,1,26,1000,80,harvey,watts_strogatz,0,604,50583723.11597987,53787142.055292845,2753815,0,Base,24977.956259626662,47752.67581395457,130816.14493298218,4.785980328382428,1.5954694961723117,1.470495054102393
5,1,0,1000,80,harvey,watts_strogatz,1,0,0.0,75604007.15336113,0,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,1,1000,80,harvey,watts_strogatz,1,139,0.0,72951102.6851392,148173,89172,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,2,1000,80,harvey,watts_strogatz,1,187,0.0,71616446.35661009,251759,143926,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,3,1000,80,harvey,watts_strogatz,1,207,0.0,71124861.0001008,295768,166552,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,4,1000,80,harvey,watts_strogatz,1,217,0.0,71036099.42505841,309608,173652,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,5,1000,80,harvey,watts_strogatz,1,221,0.0,70953179.46808073,337705,199150,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,6,1000,80,harvey,watts_strogatz,1,223,0.0,70920776.74050258,342785,201690,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,7,1000,80,harvey,watts_strogatz,1,223,0.0,70920776.74050258,342785,201690,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,8,1000,80,harvey,watts_strogatz,1,226,0.0,70803548.18513717,381905,235830,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,9,1000,80,harvey,watts_strogatz,1,230,0.0,70431439.38667972,592065,434735,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,10,1000,80,harvey,watts_strogatz,1,237,0.0,69883402.75818461,951265,774985,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,11,1000,80,harvey,watts_strogatz,1,244,0.0,69259762.3993942,1334965,1139500,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,12,1000,80,harvey,watts_strogatz,1,255,0.0,68375571.47686218,1918865,1692945,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,13,1000,80,harvey,watts_strogatz,1,265,0.0,67360926.84232205,2547965,2290590,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,14,1000,80,harvey,watts_strogatz,1,277,0.0,66211390.591079615,3278525,2983515,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,15,1000,80,harvey,watts_strogatz,1,282,0.0,65714873.850942925,3619625,3307560,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,16,1000,80,harvey,watts_strogatz,1,293,0.0,64541269.930359595,4404725,4053405,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,17,1000,80,harvey,watts_strogatz,1,305,0.0,63516328.55157513,5057225,4673280,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,18,1000,80,harvey,watts_strogatz,1,313,0.0,62848804.28176954,5557625,5148660,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,19,1000,80,harvey,watts_strogatz,1,320,0.0,61931775.71609845,6247325,5803875,Base,0.0,0.0,0.0,0.0,0.0,0.0
5,1,20,1000,80,harvey,watts_strogatz,1,331,57212308.86432678,60735135.969884634,7015325,6533475,Base,33084.67169060024,56592.661844393224,110453.65012794451,6.777033420255443,1.9239983319322078,1.2454535548350836
6,1,0,1000,80,harvey,watts_strogatz,2,0,0.0,81000694.535631,0,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
6,1,1,1000,80,harvey,watts_strogatz,2,158,0.0,78049100.63451888,152335,54940,Base,0.0,0.0,0.0,0.0,0.0,0.0
6,1,2,1000,80,harvey,watts_strogatz,2,234,0.0,75251939.81029119,468302,120773,Base,0.0,0.0,0.0,0.0,0.0,0.0
6,1,3,1000,80,harvey,watts_strogatz,2,253,0.0,73708855.01110494,622478,140107,Base,0.0,0.0,0.0,0.0,0.0,0.0
6,1,4,1000,80,harvey,watts_strogatz,2,266,0.0,72244868.97564393,770915,150530,Base,0.0,0.0,0.0,0.0,0.0,0.0
6,1,5,1000,80,harvey,watts_strogatz,2,270,0.0,72217991.27909614,778598,155757,Base,0.0,0.0,0.0,0.0,0.0,0.0
6,1,6,1000,80,harvey,watts_strogatz,2,271,0.0,72013590.8360204,799568,155757,Base,0.0,0.0,0.0,0.0,0.0,0.0
6,1,7,1000,80,harvey,watts_strogatz,2,273,67736663.70353279,71947971.30984637,805578,159407,Base,36327.486490556614,67833.36558954224,139785.47244215617,7.150655500720387,2.2982578842748924,1.5686284225694036
7,1,0,1000,80,harvey,watts_strogatz,3,0,0.0,80949111.45866275,0,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
7,1,1,1000,80,harvey,watts_strogatz,3,120,0.0,78460859.87001912,149698,38687,Base,0.0,0.0,0.0,0.0,0.0,0.0
7,1,2,1000,80,harvey,watts_strogatz,3,247,0.0,73134901.54351802,627572,99078,Base,0.0,0.0,0.0,0.0,0.0,0.0
7,1,3,1000,80,harvey,watts_strogatz,3,331,0.0,66884280.5856502,1131179,101621,Base,0.0,0.0,0.0,0.0,0.0,0.0
7,1,4,1000,80,harvey,watts_strogatz,3,372,0.0,64308553.132708475,1354679,103841,Base,0.0,0.0,0.0,0.0,0.0,0.0
7,1,5,1000,80,harvey,watts_strogatz,3,407,0.0,61752930.17930094,1608059,241481,Base,0.0,0.0,0.0,0.0,0.0,0.0
7,1,6,1000,80,harvey,watts_strogatz,3,418,0.0,61077251.46441344,1659969,241481,Base,0.0,0.0,0.0,0.0,0.0,0.0
7,1,7,1000,80,harvey,watts_strogatz,3,433,0.0,60174926.16812384,1757679,326741,Base,0.0,0.0,0.0,0.0,0.0,0.0
7,1,8,1000,80,harvey,watts_strogatz,3,444,0.0,59294522.54040384,1892529,606881,Base,0.0,0.0,0.0,0.0,0.0,0.0
7,1,9,1000,80,harvey,watts_strogatz,3,447,0.0,59122456.86790693,1912599,626891,Base,0.0,0.0,0.0,0.0,0.0,0.0
7,1,10,1000,80,harvey,watts_strogatz,3,459,0.0,57967735.26464575,2180349,1335506,Base,0.0,0.0,0.0,0.0,0.0,0.0
7,1,11,1000,80,harvey,watts_strogatz,3,466,0.0,57471528.53348445,2333079,1525361,Base,0.0,0.0,0.0,0.0,0.0,0.0
