RunId,iteration,Step,number_of_households,number_of_steps,flood_map_choice,network,TotalAdaptedHouseholds,TotalActualDamage,TotalExpectedDamage,TotalAdaptationCosts,TotalCostsOfSubsidies,AverageDamagePerPoorHousehold,AverageDamagePerMiddleClassHousehold,AverageDamagePerRichHousehold,AverageIncomeToDamagePoorHousehold,AverageIncomeToDamageMiddleClassHousehold,AverageIncomeToDamageRichHousehold
95,31,2,1000,80,500yr,watts_strogatz,207,34685813.29218622,37174861.023182146,600045,0,16876.71064939063,33823.160803334016,77086.27343614063,3.4096447418625377,1.1328116745501178,0.898770734327997
92,30,27,1000,80,500yr,watts_strogatz,415,18827615.831274766,20097105.27009478,1900250,0,8724.522141069823,17848.684406866912,49808.215185907335,1.697011423251548,0.6281710045061571,0.5689600249093059
90,30,46,1000,80,harvey,watts_strogatz,590,47170176.84189883,49870662.017059915,4110765,0,21252.48182455423,44178.413763544704,127835.3381016481,4.347521164555156,1.5013820039756853,1.440551127050478
96,32,33,1000,80,harvey,watts_strogatz,632,50408228.004859164,53708096.84834681,2918585,0,23080.626681667345,50470.5139438063,116991.94410642989,4.6716771840646185,1.7493004399012366,1.2888746065530456
93,31,47,1000,80,harvey,watts_strogatz,639,44996342.776434354,47670943.18673397,4192190,0,24157.374599825653,44441.910802854385,96758.135326799,4.846430835473196,1.5221150751174892,1.059244171050645
99,33,8,1000,80,harvey,watts_strogatz,564,50072062.22773038,52834815.79706461,2353095,0,29536.262527500185,48580.948259752025,118944.08049330626,5.73883373581954,1.647941331229986,1.3658594216557376
97,32,71,1000,80,100yr,watts_strogatz,335,14382913.224300114,15511120.664604688,2659900,0,7725.0993988497285,15213.226795846434,27203.881403489104,1.533603852971084,0.5156836012190631,0.314609661008144
98,32,66,1000,80,500yr,watts_strogatz,421,17178203.383529276,18689255.804347333,2543050,0,9537.746782754351,18160.534848887135,30316.885070994955,1.9214049001393099,0.608165370985552,0.34723191823691574
103,34,9,1000,80,100yr,watts_strogatz,273,14423881.093450857,15514294.547465263,1155180,0,10252.382684410528,13033.628748953042,34954.188813341985,2.0931135198346884,0.44479865854990286,0.37975740745690073
101,33,53,1000,80,500yr,watts_strogatz,395,17766645.858399104,18942425.486891836,1979130,0,9427.261617428996,15624.236997628632,51538.00174264575,1.9294743698478214,0.5322204612439927,0.592241455154122
102,34,20,1000,80,harvey,watts_strogatz,657,45293500.873967916,47947174.34564488,2674545,0,22677.104140295993,45347.121226426745,109124.1551864234,4.438727191401064,1.5593534523705694,1.2468987621789547
100,33,65,1000,80,100yr,watts_strogatz,339,12373291.543731278,13406355.96998908,1897325,0,6362.445643905517,11521.464265926892,35905.71934988349,1.317996308492205,0.38477312635037036,0.4025197252819952
105,35,21,1000,80,harvey,watts_strogatz,568,51221990.63874501,54268412.931178436,2194950,0,24463.858687316417,49416.87906013723,135971.84185471115,4.953435283383453,1.6588925723104757,1.5179145736851476
107,35,26,1000,80,500yr,watts_strogatz,447,17593187.829260662,18496530.887730252,2321630,0,7186.2404090123855,17322.347848527195,44990.3296017245,1.4616060877727575,0.5931010826041495,0.5052427612070582
108,36,10,1000,80,harvey,watts_strogatz,574,50302541.11502532,53037393.60021102,2451620,0,23479.96707282226,46128.31930960487,142232.6301776201,4.828184213793785,1.6105644231777447,1.613589221303123
104,34,60,1000,80,500yr,watts_strogatz,367,21805219.288587064,23316338.268717352,2448470,0,11250.012264689058,21325.60803338449,50907.686176401,2.184602901681142,0.7367558255583365,0.5910445102681788
106,35,58,1000,80,100yr,watts_strogatz,314,14804489.232619215,15929547.536443666,2552165,0,6611.53928289001,15986.214895900683,25272.57611913338,1.319547385717922,0.5487601698463783,0.2789264151485857
109,36,33,1000,80,100yr,watts_strogatz,371,14226155.777585026,15116134.542457705,1875225,0,5795.5253216156825,13360.59333499482,35776.11470576197,1.1743342768221623,0.45278892770791973,0.40536954435697903
112,37,11,1000,80,100yr,watts_strogatz,287,14308882.513975654,15365664.32580192,1328175,0,9523.771682516,14430.658199775897,26625.24693512076,1.9462085792410342,0.4964226887481503,0.3077833346506882
111,37,13,1000,80,harvey,watts_strogatz,605,45430564.27170546,47993509.06199517,2719670,0,25370.73592501075,45822.01568898221,88337.66078395252,5.161733853129337,1.547249361205888,1.0377978570933601
114,38,17,1000,80,harvey,watts_strogatz,583,48461263.41790712,51274389.138471626,3008795,0,26417.48168976405,44443.990901341305,119035.11565868791,5.366065881336377,1.5138477748778394,1.3683176427967367
110,36,59,1000,80,500yr,watts_strogatz,420,20025361.016969517,21787502.4222748,2105030,0,10052.74351630206,19024.68123598918,48085.224798716605,1.9358724244858696,0.6343761430002685,0.5611533417452692
113,37,34,1000,80,500yr,watts_strogatz,390,23216255.391475186,24858452.4290683,1858560,0,11224.410510695974,21565.798446767287,59629.1125527887,2.283672921721858,0.738952976796071,0.6757881121804872
116,38,29,1000,80,500yr,watts_strogatz,372,18066717.05018633,19355333.583208546,1998980,0,10778.463735253254,19246.86090697677,29744.61954172774,2.174527996906206,0.6654602324148581,0.33134550358477655
117,39,53,1000,80,harvey,watts_strogatz,545,49938276.49031876,52856244.41449193,2568355,0,23349.633861032107,46847.29475849546,120691.57683549773,4.655739754071697,1.6161496365405743,1.3845006544546823
115,38,77,1000,80,100yr,watts_strogatz,320,14407416.060274389,15536830.428649833,3673380,0,7991.846155924268,14140.274888526586,29771.40369048207,1.6412405007695212,0.4793057795349887,0.3460658897711465
118,39,70,1000,80,100yr,watts_strogatz,314,13556263.773075467,14299819.253309961,2093920,0,7834.603334943543,13472.685999482806,29671.82505195581,1.6123493830542421,0.4478060779179675,0.3442762903750603
122,40,3,1000,80,500yr,watts_strogatz,260,29150858.867234346,31064621.33682028,948605,0,16855.969414447027,28391.02430818426,59716.535710314885,3.198798550549343,0.9761102305815538,0.677931336855644
121,40,36,1000,80,100yr,watts_strogatz,334,15150062.109599797,16295867.931081558,1926255,0,7481.847912966929,14299.254616696457,37162.880870013294,1.4902410326385207,0.4868064698972253,0.4081527820470492
119,39,66,1000,80,500yr,watts_strogatz,390,15425190.93528433,16589364.646654177,2766805,0,10078.945715156899,14041.174495303601,36505.21944670186,1.9832763108908888,0.48094071173225195,0.4097829718978461
123,41,34,1000,80,harvey,watts_strogatz,547,45971587.77330624,48405787.83087627,2575210,0,23269.45314678207,46861.791234026765,99635.15703100723,4.532468004641742,1.6051078213962475,1.1293186266776087
120,40,72,1000,80,harvey,watts_strogatz,681,49263527.873490825,52139739.0102759,4445325,0,23415.244244551515,45915.54577363919,137688.86890261888,4.725350931682241,1.5655544611630436,1.5537030815623873
125,41,47,1000,80,500yr,watts_strogatz,393,21050848.682516914,22769552.63367396,1803450,0,10770.07237743856,18940.639699719526,64805.0080831369,2.1282693812201954,0.6447947725426466,0.7279019172275376
127,42,21,1000,80,100yr,watts_strogatz,330,14409045.761276226,15401167.910711462,1730280,0,5989.587701165964,13427.276320593613,42094.819280117306,1.223622855079331,0.45981961750915146,0.4824742454203742
124,41,59,1000,80,100yr,watts_strogatz,316,19419125.75702835,20964100.807701178,1943635,0,8365.148306875763,16471.50135848027,61246.00516836624,1.6502574035260256,0.5619178455858015,0.6908156989805895
126,42,37,1000,80,harvey,watts_strogatz,605,49893335.748654194,52764465.23165077,3205160,0,24683.29371629232,46798.670782468325,123045.76563929276,5.017984837521339,1.6176452248169972,1.3935962366742463
129,43,26,1000,80,harvey,watts_strogatz,631,45580388.54086555,48388171.91519068,2901515,0,22805.270824492454,45698.46197893002,112828.95160467229,4.4544647197694776,1.5252213557865686,1.2775212677104617
128,42,37,1000,80,500yr,watts_strogatz,348,23258450.310519967,24901973.76538629,1898930,0,11377.218268790248,21653.82894125725,60395.03864544186,2.286440430201633,0.7392802953427021,0.662509543676509
131,43,32,1000,80,500yr,watts_strogatz,368,20635521.002703767,21914134.780655075,1600600,0,10280.640849871192,20377.433048917894,46228.79216280396,2.055027155425273,0.6706631333565536,0.5351802491784758
133,44,5,1000,80,100yr,watts_strogatz,286,17763196.027375124,18992622.205655474,1381920,0,12615.940502687687,15564.318599582755,45402.8741059966,2.5231798950744637,0.5214027973076661,0.5015824981636748
132,44,33,1000,80,harvey,watts_strogatz,607,47644738.4202594,50634443.898362614,2850965,0,23439.274060536896,45851.14644795116,112502.61066416642,4.742597942645342,1.5239909452651135,1.31189777394935
130,43,64,1000,80,100yr,watts_strogatz,317,13038745.6371548,13997488.06779974,1888360,0,7322.0234243869345,12702.079399617256,28193.33508642733,1.4183941604570234,0.4309478964913,0.33456211541515685
134,44,62,1000,80,500yr,watts_strogatz,411,15944781.524616046,17150058.927230936,4793525,0,7074.684984995892,15842.499886443718,35136.565426540226,1.3991614516320272,0.5337886943658108,0.4049155663393947
138,46,13,1000,80,harvey,watts_strogatz,616,50626408.9932801,53730462.79373269,2174815,0,27965.14112721236,49047.874165612455,128137.34253205363,5.454373420046388,1.609167729163436,1.4366005342871144
135,45,76,1000,80,harvey,watts_strogatz,573,45848418.34485924,48838590.07493477,4094135,0,24713.957485078805,46394.440773041286,99471.52136871955,5.014811621247424,1.6080570100648752,1.1269703707595322
137,45,52,1000,80,500yr,watts_strogatz,383,20288372.41175322,21663576.801761273,2187785,0,9826.780878623635,18124.085777768025,60004.49831078636,1.9512960887107176,0.6089574524725812,0.6678729848498269
136,45,74,1000,80,100yr,watts_strogatz,320,13568459.492753362,14609502.295327405,2075970,0,8842.01437883578,13855.79154908762,21579.234271890862,1.782332255479044,0.4666241331272223,0.26121428710478856
139,46,28,1000,80,100yr,watts_strogatz,331,14457054.935102107,15388841.261019967,1847850,0,7539.544609305064,13937.47886935976,35425.03436279005,1.5207563659510395,0.4608085280559737,0.392398554023196
141,47,49,1000,80,harvey,watts_strogatz,650,42430115.23734794,44581849.817104235,4574265,0,19078.073995835355,43586.68424682593,104008.31684784146,3.666325760797657,1.4517647007285857,1.1763085170688674
142,47,38,1000,80,100yr,watts_strogatz,315,16282308.151088336,17469825.73447714,1595730,0,6160.331637349246,14653.392948022447,43219.44182128507,1.1977068343809358,0.5018272525901838,0.4898049958015083
140,46,72,1000,80,500yr,watts_strogatz,410,20539904.53745203,22038828.833435703,2964040,0,10959.221635240676,19468.98839722007,49162.206892486654,2.255618109829883,0.6623929118952531,0.5718852657885144
144,48,35,1000,80,harvey,watts_strogatz,582,51374115.46538494,54335898.394495964,2722725,0,24425.62109211381,46398.5779288171,144765.34206637085,4.927844555054172,1.5711014221928281,1.6099744066525408
143,47,65,1000,80,500yr,watts_strogatz,479,18071889.66906072,19461167.638053395,3876620,0,8221.573399696099,18662.998419875406,40302.14699432018,1.6395209165429396,0.6335888235230899,0.46190653811600785
145,48,42,1000,80,100yr,watts_strogatz,321,13674947.920512106,14664188.337888476,1572220,0,5852.292488097796,14460.143398563276,26826.86711889247,1.1544795945567028,0.4973774749149057,0.30617489589183666
148,49,10,1000,80,100yr,watts_strogatz,294,14054212.989819122,15212602.69682016,1156180,0,9215.769565842655,15130.243727580375,20516.450811511826,1.8584366615390628,0.5133059739258619,0.24145571212172398
146,48,45,1000,80,500yr,watts_strogatz,364,19912558.93727738,21373961.147423934,2756430,0,8788.626867515593,18791.89086047489,51768.41392607266,1.7387290460808145,0.6223875968012884,0.5972257631191087
